,AUC ROC,Algorithm,Avg. Precision,Fold,Time
123,0.5886592976000248,"node2vec [dim=13, p=1.0, q=1.0, t=5 + topics",0.4224247658882837,3,453.08025276400434
124,0.5862808542210453,"node2vec [dim=13, p=1.0, q=2.0, t=5",0.4204676766239753,3,439.924285658999
125,0.6003503016550327,"node2vec [dim=13, p=1.0, q=2.0, t=5 + topics",0.4356039219956357,3,462.2596712530067
126,0.5984861487816311,"node2vec [dim=13, p=2.0, q=0.5, t=5",0.4311811048939842,3,431.03146792399633
127,0.5936532806526404,"node2vec [dim=13, p=2.0, q=0.5, t=5 + topics",0.4280640480743077,3,448.0865723479946
128,0.5953858502094711,"node2vec [dim=13, p=2.0, q=1.0, t=5",0.4330575296646905,3,438.4420258500031
129,0.5925217587306256,"node2vec [dim=13, p=2.0, q=1.0, t=5 + topics",0.4307897341327842,3,451.8441809950018
130,0.5909433354616778,"node2vec [dim=13, p=2.0, q=2.0, t=5",0.4321526415766706,3,447.6186316010135
131,0.6025673471445636,"node2vec [dim=13, p=2.0, q=2.0, t=5 + topics",0.4407345619423317,3,461.11916491299047
132,0.5812570630765005,"node2vec [dim=128, p=0.5, q=0.5, t=5",0.4164477154659499,3,477.4948964399955
133,0.5815591643033285,"node2vec [dim=128, p=0.5, q=0.5, t=5 + topics",0.4176966755433329,3,516.4597212640074
134,0.5886290192352448,"node2vec [dim=128, p=0.5, q=1.0, t=5",0.4263842743955552,3,477.1784597060032
135,0.5854721721026268,"node2vec [dim=128, p=0.5, q=1.0, t=5 + topics",0.423889647424796,3,509.206629510998
136,0.5845668682875826,"node2vec [dim=128, p=0.5, q=2.0, t=5",0.4221940390106642,3,478.86877550400095
137,0.5885019490832597,"node2vec [dim=128, p=0.5, q=2.0, t=5 + topics",0.42662827440844175,3,521.4851528769941
138,0.5848207990663096,"node2vec [dim=128, p=1.0, q=0.5, t=5",0.42230840511913703,3,469.8052743219887
139,0.5873310429422465,"node2vec [dim=128, p=1.0, q=0.5, t=5 + topics",0.4244797938144538,3,518.5271037450002
140,0.5842891326963723,"node2vec [dim=128, p=1.0, q=1.0, t=5",0.4215232357712727,3,481.56357120099716
141,0.5855594019446022,"node2vec [dim=128, p=1.0, q=1.0, t=5 + topics",0.4222271537109025,3,519.2013581479987
142,0.5881779915067147,"node2vec [dim=128, p=1.0, q=2.0, t=5",0.4240923774507734,3,478.6516884620069
143,0.5915752713261241,"node2vec [dim=128, p=1.0, q=2.0, t=5 + topics",0.4288038048657377,3,523.9373332169927
144,0.5830625676842209,"node2vec [dim=128, p=2.0, q=0.5, t=5",0.4199974051893424,3,467.53429378398874
145,0.5786033578461165,"node2vec [dim=128, p=2.0, q=0.5, t=5 + topics",0.4168592053437489,3,511.26530331499816
146,0.5858713134970933,"node2vec [dim=128, p=2.0, q=1.0, t=5",0.4224178402121892,3,484.05407064700563
147,0.5827891858720186,"node2vec [dim=128, p=2.0, q=1.0, t=5 + topics",0.42059449129102217,3,516.7570697909979
148,0.5825541992098724,"node2vec [dim=128, p=2.0, q=2.0, t=5",0.4197550602674833,3,478.87229685499915
149,0.5877608327407614,"node2vec [dim=128, p=2.0, q=2.0, t=5 + topics",0.4225906680323709,3,528.7816446990037
150,0.6111278880070852,Our model,0.456983308680996,3,79.56183421000604
151,0.5581810796373599,Barbera model,0.4211201435974007,3,71.4394762590091
152,0.6076313154427251,"node2vec [dim=13, p=0.5, q=0.5, t=5",0.4355761841086659,4,456.7471948439925
153,0.5991282428103054,"node2vec [dim=13, p=0.5, q=0.5, t=5 + topics",0.4253087950545429,4,472.26824028301047
154,0.610474731411006,"node2vec [dim=13, p=0.5, q=1.0, t=5",0.4402856471711299,4,466.101273510998
155,0.6099089167247205,"node2vec [dim=13, p=0.5, q=1.0, t=5 + topics",0.4397328393984528,4,480.0914232200012
156,0.5997162708527602,"node2vec [dim=13, p=0.5, q=2.0, t=5",0.4273341635512927,4,463.7549067420041
